,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30,Word_31,Word_32,Word_33,Word_34,Word_35,Word_36,Word_37,Word_38,Word_39,Word_40,Word_41,Word_42,Word_43,Word_44,Word_45,Word_46,Word_47,Word_48,Word_49,Word_50,Word_51,Word_52,Word_53,Word_54,Word_55,Word_56,Word_57,Word_58,Word_59,Word_60,Word_61,Word_62,Word_63,Word_64,Word_65,Word_66,Word_67,Word_68,Word_69,Word_70,Word_71,Word_72,Word_73,Word_74,Word_75,Word_76,Word_77,Word_78,Word_79,Word_80,Word_81,Word_82,Word_83,Word_84,Word_85,Word_86,Word_87,Word_88,Word_89,Word_90,Word_91,Word_92,Word_93,Word_94,Word_95,Word_96,Word_97,Word_98,Word_99,Word_100,Word_101,Word_102,Word_103,Word_104,Word_105,Word_106,Word_107,Word_108,Word_109,Word_110,Word_111,Word_112,Word_113,Word_114,Word_115,Word_116,Word_117,Word_118,Word_119,Word_120,Word_121,Word_122,Word_123,Word_124,Word_125,Word_126,Word_127,Word_128,Word_129,Word_130,Word_131,Word_132,Word_133,Word_134,Word_135,Word_136,Word_137,Word_138,Word_139,Word_140,Word_141,Word_142,Word_143,Word_144,Word_145,Word_146,Word_147,Word_148,Word_149,Word_150,Word_151,Word_152,Word_153,Word_154,Word_155,Word_156,Word_157,Word_158,Word_159,Word_160,Word_161,Word_162,Word_163,Word_164,Word_165,Word_166,Word_167,Word_168,Word_169,Word_170,Word_171,Word_172,Word_173,Word_174,Word_175,Word_176,Word_177,Word_178,Word_179,Word_180,Word_181,Word_182,Word_183,Word_184,Word_185,Word_186,Word_187,Word_188,Word_189,Word_190,Word_191,Word_192,Word_193,Word_194,Word_195,Word_196,Word_197,Word_198,Word_199,Word_200
Loans,borrower,db bank,db,lender,guarantor,loan,guarantee,letter,thereof,time time,hereunder,bank shall,sum,absolute discretion,whatsoever,currency,construction,term condition,discretion,monies,mortgage,owing,payable,shall deemed,consent,accordance,land,repayment,clause,absolute,certificate,agrees,event default,title,proceeding,deemed,notwithstanding,prejudice,banker,binding,instrument,guaranteed,thereon,indemnity,unit,entitled,remedy,discharge,covenant,prepayment,permit,incurred,secured,contained,determined,outstanding,field,court,collateral,acceptable,reserve,pursuant,constitution,respective,limited liability,bankruptcy,proceeds,executed,jurisdiction,contingent,instruction,jointly,statutory,specified,business day,adverse,duly,comply,corporation,signed,proportionate,availability,delivered,release,undertaking,refers,competent,foreign currency,bond,thereto,warranty,gst,signature,sole,deduction,singapore dollar,bank customer,execution,variation,unconditionally,shall entitled,sole absolute,person person,representation warranty,facility granted,maturity date,shall include,option purchase,credit facility,set forth,applicable law,sale purchase,including limited,law regulation,stamp duty,customer bank,loan advance,shall apply,financial institution,personal data,bank bank,accordance provision,good service,foreign exchange,relevant authority,rate annum,financial information,shall liable,act cap,behalf customer,market value,db group,bank singapore,purchase sale,date date,customer account,bank account,good faith,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mergers and Acquisitions,issue manager,target,diligence,target company,buyer,shareholder,listing,takeover,issuer,merger,seller,ipo,private,adviser,sgx,code,voting,sector,expert,concert,volume,voting right,regulatory,merger acquisition,acting concert,typically,technology,prospectus,holding,announcement,indonesia,duty,billion,practical,potential,scheme,ab,global,competition,bid,lawyer,company act,listing rule,llc,mandatory,region,corp,significant,sgxst,warranty,company business,asia,right reserved,stated,disclosed,proposed,acceptance,raised,covenant,august,licence,search,listing manual,acting,manual,overview,reserved,indemnity,investigation,tech,malaysia,assistance,research,voluntary,consent,court,estate,trend,contributed,stake,structure,share company,break,normally,real estate,representation,check,financing,supplier,level,pte,announced,controlling,company director,public company,impact,substantial,consumer,ascertain,shareholding,company group,representation warranty,section company,internal control,listed company,director executive,financial statement,interested person,stamp duty,executive officer,financial adviser,sale purchase,person acting,company incorporated,singapore malaysia,company company,singapore exchange,person transaction,malaysia indonesia,substantial shareholder,united state,general meeting,financial year,share price,covid pandemic,southeast asia,singapore company,regulatory authority,security future,share held,hong kong,audited financial,good faith,group company,exchange security,significant increase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derivatives,hedge,asc,hedged,derivative,reporting entity,hedging,fair value,entity,fair,reporting,swap,instrument,cash flow,derivative contract,forecasted,flow,change fair,hedge accounting,hedging instrument,currency,flow hedge,data field,method,accounting,effectiveness,embedded derivative,column,field,asset liability,embedded,counterparty,rate swap,specified,leg,notional,foreign currency,earnings,corp,net,usd,isda master,isda,component,settlement,master agreement,net investment,designated,inception,firm commitment,shortcut,index,recognized,benchmark rate,forward contract,portfolio,sofr,host,derivative instrument,guidance,comprehensive income,future,nonfinancial,normal,commodity,probable,criterion,margin,gain loss,discussed,master,commitment,floating rate,layer,adjustment,floating,benchmark,qualify,underlying,yes,gain,variable,initial,exposure,frequency,pwc,nonfinancial asset,eur,fixed rate,quantitative,rate risk,usa,explanatory note,approach,reset,otc,functional currency,spot,attributable,variation margin,maturity,hedged item,hedging relationship,forecasted transaction,scope exception,value hedge,asc asc,field value,hedged risk,net settlement,host contract,meet definition,financial instrument,financial asset,otc derivative,variable rate,currency risk,exchange rate,time value,foreign exchange,event default,present value,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Employment,leave,salary,viewing,overtime,hour,print,subsection,commissioner,week,contract service,reading,working,informal,basic,version,offence,consolidation,entitled,deduction,holiday,allowance,cpf,medical,rest,annex,child,termination,commencement,amendment,worked,labour,wage,second,exceeding,minister,contribution,entitlement,employed,indicate,template,subcontractor,court,break,payable,prescribed,pte,duty,imprisonment,section act,fine,specified,accordance,sum,notification,day day,sample,job,april,young,title,contractor,notice amendment,inquiry,november,authorised,productivity,shall liable,october,bonus,class,tan,worker,served,august,deemed,half,period month,normal,administrative,incentive,undertaking,wef,body,july,continuous,responsibility,civil,certified,thereof,soft,length,industrial,pas,preceding,signature,breakdown,supplement,deducted,affected,calculated,viewing print,rate pay,print viewing,employment act,consolidation version,informal consolidation,version force,payment date,average number,accordance provision,month month,general administrative,date date,shall entitled,income tax,total number,month year,applied section,previous year,time time,prescribed form,total allowance,relevant authority,section section,bank deposit,period net,period time,end year,year total,act cap,work performed,term condition,company act,confidential information,fact circumstance,section company,person person,end period,employee benefit,bank singapore,registered office,limited liability,period year,service provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Non-Disclosure Agreements (NDA),confidential information,confidential,disclosing,agrees,confidentiality,remedy,disclose,court,thereof,shall deemed,agree,disclosed,whatsoever,pursuant,authorised,waiver,acknowledges,termination,deemed,hereunder,possession,affiliate,proprietary,term condition,corporation,dispute,signed,binding,article,entity,constitute,printed,great,accordance,consent,prejudice,clause,thereto,collectively,developed,executed,independently,responsibility,set forth,united state,sole,title,united,related corporation,contained,forth,relief,right reserved,violation,person entity,amendment,concerning,incorporated,signature,publicly,adviser,entitled,conflict,contains,contractor,employ,information provided,modification,proceeding,comply,duty,reserved,time time,promptly,company incorporated,appointed,modified,social,company business,licence,degree,jurisdiction,release,research,undertaking,counterpart,category,computer,execution,protect,supplier,competition,confidence,joint venture,governed,marketing,suspected,amended,announcement,assigned,shall entitled,information relating,shall apply,personal data,registered office,great eastern,board director,shall include,directly indirectly,holding company,including limited,information obtained,applicable law,company subsidiary,financial adviser,year date,information required,period year,regulatory authority,effective date,stock exchange,business enterprise,company united,real estate,plant equipment,company limited,disclosure required,information security,legal advice,management policy,work performed,company shall,loss arising,related company,incorporated singapore,life insurance,meet criterion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Partnerships,purchaser,offeror,target company,concert,voting,shareholder,council,voting right,stockholder,target,acting concert,merger,closing,announcement,acting,contemplated,person acting,seller,set forth,adviser,consent,forth,accordance,acceptance,normally,convertible,pursuant,code,forecast,acquired,competing,respective,certificate,meeting,acquire,dealing,number share,waiver,holder,proposal,instrument,sub,governmental,shareholding,circular,company share,reasonably,potential,conversion,holding,affiliate,security exchange,class,business trust,aggregate,outstanding,buyback,thereof,revised,thereto,partial,warranty,financial adviser,foregoing,delivered,ordinary,article,corporation,hereunder,controlled,representation,proposed,scheme,disclosed,owned,course business,termination,practicable,deemed,company company,dividend,warrant,applicable law,covenant,organizational,advice,advertisement,vote,general meeting,subscription,share price,business day,expert,interim,contained,environmental,amended,confidential,promptly,trustee,offeree company,purchaser representative,representation warranty,company shall,share buyback,share company,share capital,directly indirectly,confidential information,shall deemed,company director,equity security,good faith,board director,financial statement,director company,executive officer,balance sheet,pursuant section,term condition,new york,company act,business combination,company subsidiary,weighted average,person person,section company,period month,public company,shall include,guidance note,exchange security,shall entitled,substantial shareholder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Client Agreements,client,clearing,uob,trading,clearing house,cfd,house,future,margin,holder,client account,clearing member,client shall,agrees,participant,clause,uob group,cimb,instruction,provider,currency,group bank,ccp,absolute discretion,discretion,service provider,licence,termination,accordance,service licence,meps,future contract,specified,market service,acknowledges,advice,time time,portfolio,wef,holder capital,term condition,custody,commodity,capital market,diligence,sole,legal advice,adviser,pursuant,settlement,prejudice,paragraph,custodian,applicable law,absolute,underlying,user,foreign exchange,trading platform,client client,corporation,including limited,consent,version,intermediary,ma,instrument,business day,whatsoever,communication,jurisdiction,acting,meaning,entitled,platform,regulated activity,early termination,thereof,annex,body,warranty,authorised,comply,shall liable,payable,portfolio management,warrant,monies,affiliate,deemed,representation,execution,swift,dealing,incurred,shall deemed,constitute,fund management,duty,software,client agreement,eurex clearing,cgs cimb,client agrees,uobkh shall,client acknowledges,schedule client,uobkh client,sole absolute,account client,shall entitled,personal data,account holder,future option,good faith,section act,customer customer,corporate finance,event default,provider shall,security future,company shall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Strategic,strategy,digital,waste,shenzhen,journey,organization,construction,team,capability,strategic,experience,growth,technology,center,approach,leader,customer experience,infrastructure,analytics,india,transformation,core,business unit,environment,unit,build,organizational,automation,improve,skill,focus,tool,operational,people,level,research,functional,insight,exhibit,support,world,potential,talent,opportunity,china,develop,percent,speed,global,culture,consulting,function,platform,topic,architecture,program,executive,planning,economic,tel,success,impact,quickly,future,role,important,scale,advantage,critical,task,working,behavior,satisfaction,quality,sector,marketing,consumer,drive,solution,creating,resource,portfolio,better,creation,chain,press,enterprise,institute,strong,leadership,structure,loyalty,challenge,entry,problem,journal,improvement,figure,investor,successful,supply chain,product service,new product,machine learning,data analytics,best practice,joint venture,hong kong,business strategy,new york,business model,merger acquisition,growth rate,asset class,new business,cash flow,artificial intelligence,senior executive,past year,southeast asia,financial institution,economic growth,managing director,market condition,mitigate risk,right reserved,management practice,business customer,wide range,covid pandemic,financial performance,management process,economic sector,operational risk,greater china,risk management,corporate finance,information technology,real estate,people republic,company business,internal external,health care,root cause,stage stage,economic condition,quality control,high quality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Administrative,workplace,people,colleague,team,job,leave,ask,culture,want,week,hour,responsibility,candidate,overtime,success,coupled,training,expect,health,goal,confidential,important,holiday,car,hire,support,feedback,aligned,safety,area,working,big,cell,highly,talent,opportunity,salary,terminate,emergency,medical,worker,duty,great,check,social,growth,confidential information,code,follow,drug,elect,device,peer,complexity,termination,understand,travel,role,illegal,idea,program,skill,eligible,meeting,drive,grow,behavior,conflict,location,online,resource,coverage,reward,safe,computer,level,career,er,joining,strategy,think,worked,exempt,network,background,confidentiality,discus,internet,needed,sign,family,relative,seven,quickly,aspect,error,expectation,experience,stay,environment,month year,prior year,time time,safety health,long term,health care,market value,root cause,credit card,life insurance,policy procedure,additional information,business day,increase decrease,business service,address risk,market rate,month month,quality control,high risk,management practice,business model,financial information,meet criterion,new business,risk assessment,senior management,share company,year year,person person,applicable law,timely manner,product service,directly indirectly,aaa aaa,absolute discretion,acceptance payable,accompanying note,accordance paragraph,accordance provision,accordance sfrsi,account client,account holder,accounting entity,accounting estimate,accounting policy,accounting standard,accumulated depreciation,accumulated impairment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Operational,training,safety,safety health,health,awareness,hour,standard operating,internal use,operating procedure,organization,hazardous,title,logo,printed,appendix,duty,initial,hazard,check,emergency,location,effective date,entity,version,applicability,date date,comment,flight,waste,frequency,competency,scheme,field,custodian,response,level,business service,site,program,safe,worker,economic,unit,workplace,business continuity,personnel,continuity,investor,monitoring,pension,incident,regulator,chemical,needed,circular,natural person,exposure,retail,investment fund,responsibility,crisis,critical,approach,disruption,identified,task,manual,ownership,potential,function,natural,federal,experience,resource,additional disclosure,code,exempted,jurisdiction,person entity,communication,depository,threshold,collateral,objective,supervisor,certification,mutual,collective,area,fis,lead,team,support,management guideline,lab,regulatory,job,protection,usa,operational,general awareness,health training,organization document,appendix effective,copy check,current copy,date mmddyyyy,document version,file internal,list location,location electronic,logo organization,mmddyyyy uncontrolled,page title,printed current,procedure safety,title standard,training appendix,uncontrolled printed,version page,check list,electronic file,monetary authority,authority singapore,financial service,senior management,best practice,equity security,role responsibility,united state,stock exchange,board senior,share company,service provider,new york,risk management,shall include,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
