file_name,expected_topic,predicted_topic
BCG_Designing_the_Corporate_Center_May_2013_tcm9-97479.txt,Strategic,Risk Management
Due-Diligence-for-Private-Acquisitions-in-Singapore.txt,Mergers and Acquisitions,Risk Management
7 Credit Facilities to Directors Related Corporations etc 01 Nov 1985.txt,Risk Management,Risk Management
introducing-the-next-gen-operating-model.txt,Strategic,Risk Management
PA00JM8D.txt,Operational,Risk Management
unaudited-interim-financial-statements-30092021.txt,Financial Statements,Financial Statements
unaudited-condensed-interim-financial-statements-300922.txt,Financial Statements,Financial Statements
Sample-Employee-Handbook.txt,Administrative,Risk Management
DBS_AR21_LR.txt,Annual Reports,Financial Statements
unaudited-results-for-nine-months-ended-30-september-2024.txt,Financial Statements,Financial Statements
MAS Notice PSN10  Exempt Payment Service Providers Tracked.txt,Anti Money Laundering,Risk Management
ar2023.txt,Annual Reports,Annual Reports
condensed-financial-statement-4q-2022.txt,Financial Statements,Financial Statements
unaudited-interim-financial-statements-300919.txt,Financial Statements,Financial Statements
NDA+FichePrésentation.txt,Non-Disclosure Agreements (NDA),Risk Management
EC.txt,Employment,Risk Management
Sample Employment Contract.txt,Employment,Financial Statements
bcg-infrastructure-strategy-2024-creating-value-through-operational-excellence-mar-2024.txt,Strategic,Financial Statements
2. Financial-statements-SAMPLE.txt,Financial Statements,Annual Reports
credit_facilities.txt,Loans,Financial Statements
unaudited-results-for-second-quarter-ended-30-june-2024.txt,Financial Statements,Financial Statements
Consumer Credit Report_Updated_30_Oct_2024.txt,Risk Management,Financial Statements
049_SINGAPORE-L-P.txt,Mergers and Acquisitions,Risk Management
Guidance Notes on Acctg Std_POST FRG_FINAL_0.txt,Regulatory and Compliance,Risk Management
Audited-Results-For-Year-Ended-31-Dec-2021.txt,Audit Reports,Financial Statements
e-tax-guide_tax-treatment-on-appropriation-of-trading-stock-for-non-trade-or-capital-purposes-and-conversion-of-non-trade-or-capital-assets-to-trading-stock.txt,Taxation,Financial Statements
DBS Annual Report 2023.txt,Annual Reports,Risk Management
pillar3-disclosures-2q-2017.txt,Risk Management,Risk Management
annual-report-2020.txt,Annual Reports,Annual Reports
