file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama,predicted_topic_claude,predicted_topic_titan,predicted_topic_bert,predicted_topic_longformer
Outsourcing Guidelines_Jul 2016 revised on 5 Oct 2018_cleaned.txt,risk_management,risk_management,risk_management,risk_management,risk_assessment_reports_frameworks,risk_management,loans
MAS Notice FSM-N11_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,ndas,loans
Board-and-Senior-Mgmt_01 Jul 2021_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
MAS Notice 1005A_30 Jun 2021_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_statements,ndas,loans
FAQ for Notice 658 and 1121_11Dec2024_cleaned.txt,risk_management,financial_regulations,risk_management,financial_regulations,financial_regulations,risk_management,loans
Directive 5_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
MAS Notice 1015 effective 01 July 2024_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,risk_management,loans
Guidelines on Definition of a Deposit_01 Jul 2021_cleaned.txt,risk_management,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
Compliance Toolkit for Merchant Banks Last Revised 12 September 2024_cleaned.txt,risk_management,financial_regulations,risk_management,financial_regulations,financial_statements,risk_management,loans
Guidelines on Environmental Risk Management for Banks_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
TRM Guidelines 18 January 2021_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_statements,risk_management,loans
FAQ - Notice on Technology Risk Management_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,ndas,loans
BCM-Guidelines-June-2022_cleaned.txt,risk_management,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
Response to Consultation Paper on Management of Outsourced Relevant Services_cleaned.txt,risk_management,risk_management,risk_management,financial_regulations,financial_regulations,risk_management,loans
income-tax-treatment-of-foreign-exchange-gains-or-losses-for-businesses-(fifth-edition)_cleaned.txt,taxation,taxation,taxation,taxation,financial_regulations,risk_management,loans
etaxguides_iit_tax-framework-for-corporate-amalgamations-(fourth-edition)_cleaned.txt,taxation,taxation,taxation,taxation,financial_statements,risk_management,loans
e-tax-guide-on-mergers-and-acquisitions-scheme-(seventh-edition)_cleaned.txt,taxation,taxation,taxation,financial_regulations,financial_regulations,risk_management,loans
etaxguides_cit_frs39_2015-03-16_cleaned.txt,taxation,taxation,taxation,financial_regulations,financial_regulations,risk_management,loans
e-tax-guide-mtt-and-dtt_cleaned.txt,taxation,taxation,taxation,financial_regulations,financial_statements,risk_management,loans
etaxguide_cit_frs_109_tax_treatment-(4th-ed)7dd1ce11-11e5-441b-84be-177a55a37a31_cleaned.txt,taxation,taxation,financial_statements,financial_regulations,financial_statements,risk_management,loans
e-tax-guide_tax-treatment-on-appropriation-of-trading-stock-for-non-trade-or-capital-purposes-and-conversion-of-non-trade-or-capital-assets-to-trading-stock_cleaned.txt,taxation,taxation,taxation,taxation,financial_regulations,risk_management,loans
etaxguide_filingincometaxcomputationsinnon-s-functional-currencies_cleaned.txt,taxation,taxation,taxation,taxation,financial_regulations,risk_management,loans
Guidance to Capital Markets Intermediaries on Enhancing AMLCFT Frameworks and Controls_cleaned.txt,AML,AML,risk_management,financial_regulations,financial_regulations,risk_management,loans
Notice PSM-N01 dated 1 March 2022-1_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,AML,financial_regulations,risk_management,investments_market_research
Guidelines to MAS Notice 1014  November 2015_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,AML,financial_statements,risk_management,loans
Guidelines for Financial Institutions to Safeguard the Integrity of Singapores Financial System  Sep 2011_cleaned.txt,AML,AML,financial_regulations,financial_regulations,financial_regulations,ndas,loans
Guidance on AML CFT Controls in Trade Finance and Correspondent Banking_cleaned.txt,AML,AML,risk_management,financial_regulations,financial_regulations,risk_management,loans
Guidance-Countering-Proliferation-Financing_cleaned.txt.coredownload_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,financial_regulations,unknown,risk_management,loans
Infographic on Effective AMLCFT Transaction Monitoring Controls_cleaned.txt,AML,risk_management,risk_management,risk_management,risk_management,ndas,loans
Industry Perspectives  Adopting Data Analytics Methods for AMLCFT_cleaned.txt,AML,AML,risk_management,risk_management,financial_statements,risk_management,loans
MAS Notice PSN10 - Exempt Payment Service Providers_cleaned.txt,AML,AML,AML,AML,financial_regulations,ndas,loans
best-practices-for-countering-trade-based-money-laundering_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,AML,AML,risk_management,loans
legal-persons-misuse-typologies-and-best-practice_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,AML,investments_market_research,risk_management,loans
MANEXT 1 2012 Cancellation Notice_cleaned.txt,AML,financial_regulations,financial_regulations,financial_regulations,financial_regulations,ndas,loans
Effective Practices to Detect and Mitigate the Risk from Misuse of Legal Persons June 2019_cleaned.txt,AML,risk_management,risk_management,risk_management,financial_regulations,risk_management,loans
Compliance Toolkit for Merchant Banks Last Revised 12 September 2024_cleaned.txt,AML,financial_regulations,financial_regulations,financial_regulations,financial_statements,risk_management,loans
MAS Notice PSN10  Exempt Payment Service Providers Tracked_cleaned.txt,AML,AML,AML,AML,financial_regulations,ndas,loans
Circular on MyInfo and CDD on NFTF business relations_cleaned.txt,AML,AML,AML,AML,financial_regulations,ndas,loans
BCBS Guidelines for AMLCFT June 2017_cleaned.txt,AML,risk_management,risk_assessment_reports_frameworks,risk_assessment_reports_frameworks,AML,risk_management,loans
Circular - Non-Face-to-Face Customer Due Diligence Measures-1_cleaned.txt,AML,AML,risk_management,AML,financial_regulations,risk_management,loans
MAS Notice 1014 last revised on 1 March 2022_cleaned.txt,AML,AML,financial_regulations,financial_regulations,financial_regulations,risk_management,investments_market_research
Guidelines to PSN01 dated 2 April 2024_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,AML,financial_regulations,risk_management,loans
Notice PSN01 dated 2 April 2024_cleaned.txt,AML,AML,risk_assessment_reports_frameworks,financial_regulations,financial_regulations,risk_management,loans
