file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/FAQ - Notice on Technology Risk Management.txt,Risk Management,Risk Management,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/ocbc 3q24 results press release.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Technology/5f57eed0d983f9acc1ca0af0_360Alumni API Documentation.txt,Technology,unknown,unknown
Cleaned_Data_v2/Legal and Contractual/Client Agreements/uob-bib-service-agreement.txt,Client Agreements,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/MAS Notice 1108 Cancellation.txt,Risk Management,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/2020-pmp-public-report.txt,Audit Reports,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Investment and Market Research/BNY-2025-market-outlook-navigating-a-new-landscape.txt,Investment and Market Research,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-4q-2020.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Operational/sg-cass-ac121-2-3(rev-0)-sop-for-flight-crew-members.txt,Operational,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2022.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-30092021.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-4q-2021.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Operational/nucats-overview-of-sops.txt,Operational,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/financial-updates-3q-2020.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-4q-2018.txt,Financial Statements,Risk Management,unknown
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets31Mar17.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/regulatory-disclosures-pillar-3-disclosures-q1-2024.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/mpdf.txt,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
Cleaned_Data_v2/Regulatory and Compliance/Enforcement Monograph Final Revised Apr 20221.txt,Regulatory and Compliance,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/MAS-SGX Trade Surveillance Practice Guide.txt,Financial Regulations,unknown,unknown
Cleaned_Data_v2/Strategic/BB_Strategies_for_growth.txt,Strategic,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2018.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Legal and Contractual/Loans/Guarantee to Bank.txt,Loans,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/3. Nomura Financial Statement.txt,Financial Statements,Financial Statements,Annual Reports
Cleaned_Data_v2/Strategic/BCG-Your-Capabilities-Need-a-Strategy-Mar-2019_tcm9-215825.txt,Strategic,Strategic,Strategic
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-3q-2017.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Financial/Annual Reports/Annual-ReportDec2016.txt,Annual Reports,unknown,unknown
Cleaned_Data_v2/Marketing and Public Communication/what-consumers-want-from-personalization.txt,Marketing and Public Communication,unknown,unknown
Cleaned_Data_v2/Financial/Annual Reports/Annual-Report2017.txt,Annual Reports,Annual Reports,unknown
Cleaned_Data_v2/Regulatory and Compliance/Consumer Finance/Notice 1109 Unsecured Credit Facilities to Individuals_1 Jul 2021.txt,Consumer Finance,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/condensed-financial-statement-4q-2021.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/best-practices-for-countering-trade-based-money-laundering.txt,Anti Money Laundering,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/7 Credit Facilities to Directors Related Corporations etc 01 Nov 1985.txt,Risk Management,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Guide to Internal Review on the Sustainability Report.txt,Regulatory and Compliance,unknown,unknown
Cleaned_Data_v2/Legal and Contractual/Client Agreements/general_terms_and_conditions.txt,Client Agreements,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/unaudited-results-for-second-quarter-ended-30-june-2024.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Marketing and Public Communication/242 - Loyalty Programs and Customer Expectations Are Growing - BCG - www.bcg.com.txt,Marketing and Public Communication,unknown,unknown
Cleaned_Data_v2/Technology/singapore-cyber-landscape-2023.txt,Technology,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/interim-financial-statement-2q-2021.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Legal and Contractual/Client Agreements/ian de vaz_due diligence.txt,Client Agreements,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/SFLCBReg.txt,Financial Regulations,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-1q-2018.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Financial/Annual Reports/pwc-iar-2023.txt,Annual Reports,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-2q-2017.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/2019-pmp-public-report.txt,Audit Reports,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-2q-2018.txt,Financial Statements,Risk Management,unknown
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/LexologyGTDTPrivateMergersandAcquisitions2023Singaporechapter.txt,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
Cleaned_Data_v2/Financial/Financial Statements/balance-sheets-30june18.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-300623.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Strategic/BCG_Designing_the_Corporate_Center_May_2013_tcm9-97479.txt,Strategic,unknown,unknown
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/Due-Diligence-for-Private-Acquisitions-in-Singapore.txt,Mergers and Acquisitions,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/8 Credit Facilities and Limits 01 Nov 1985.txt,Risk Management,unknown,Financial Regulations
Cleaned_Data_v2/Strategic/introducing-the-next-gen-operating-model.txt,Strategic,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Operational/PA00JM8D.txt,Operational,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-310320.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-1q-2019.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Administrative/Sample-Employee-Handbook.txt,Administrative,unknown,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/Singapore’s National Money Laundering and Terrorist Financing Risk Assessment .txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-310324.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/MAS Notice PSN10  Exempt Payment Service Providers Tracked.txt,Anti Money Laundering,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-1q-2022.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/selected-fs-fy2020-en.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets30Sept15.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Legal and Contractual/Non-Disclosure Agreements (NDA)/NDA+FichePrésentation.txt,Non-Disclosure Agreements (NDA),unknown,unknown
Cleaned_Data_v2/Legal and Contractual/Employment/EC.txt,Employment,Employment,Employment
Cleaned_Data_v2/Legal and Contractual/Employment/Sample Employment Contract.txt,Employment,Employment,Employment
Cleaned_Data_v2/Strategic/bcg-infrastructure-strategy-2024-creating-value-through-operational-excellence-mar-2024.txt,Strategic,unknown,Operational
Cleaned_Data_v2/Financial/Financial Statements/financial-statements.txt,Financial Statements,Annual Reports,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Legal and Contractual/Loans/credit_facilities.txt,Loans,unknown,unknown
Cleaned_Data_v2/Financial/Financial Statements/ar2023.txt,Financial Statements,Annual Reports,unknown
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Guidelines on Definition of a Deposit_01 Jul 2021.txt,Risk Management,Financial Regulations,unknown
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/049_SINGAPORE-L-P.txt,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-2q-2019.txt,Financial Statements,unknown,unknown
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/Audited-Results-For-Year-Ended-31-Dec-2021.txt,Audit Reports,Financial Statements,unknown
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-300923.txt,Financial Statements,Financial Statements,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/dbs-annual-report-2023-risk-management.txt,Risk Assessment Reports and Frameworks,Risk Management,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/UOBKH_AR14.txt,Financial Statements,Annual Reports,unknown
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2023.txt,Risk Assessment Reports and Frameworks,unknown,Risk Assessment Reports and Frameworks
