,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30,Word_31,Word_32,Word_33,Word_34,Word_35,Word_36,Word_37,Word_38,Word_39,Word_40,Word_41,Word_42,Word_43,Word_44,Word_45,Word_46,Word_47,Word_48,Word_49,Word_50,Word_51,Word_52,Word_53,Word_54,Word_55,Word_56,Word_57,Word_58,Word_59,Word_60,Word_61,Word_62,Word_63,Word_64,Word_65,Word_66,Word_67,Word_68,Word_69,Word_70,Word_71,Word_72,Word_73,Word_74,Word_75,Word_76,Word_77,Word_78,Word_79,Word_80,Word_81,Word_82,Word_83,Word_84,Word_85,Word_86,Word_87,Word_88,Word_89,Word_90,Word_91,Word_92,Word_93,Word_94,Word_95,Word_96,Word_97,Word_98,Word_99,Word_100,Word_101,Word_102,Word_103,Word_104,Word_105,Word_106,Word_107,Word_108,Word_109,Word_110,Word_111,Word_112,Word_113,Word_114,Word_115,Word_116,Word_117,Word_118,Word_119,Word_120,Word_121,Word_122,Word_123,Word_124,Word_125,Word_126,Word_127,Word_128,Word_129,Word_130,Word_131,Word_132,Word_133,Word_134,Word_135,Word_136,Word_137,Word_138,Word_139,Word_140,Word_141,Word_142,Word_143,Word_144,Word_145,Word_146,Word_147,Word_148,Word_149,Word_150,Word_151,Word_152,Word_153,Word_154,Word_155,Word_156,Word_157,Word_158,Word_159,Word_160,Word_161,Word_162,Word_163,Word_164,Word_165,Word_166,Word_167,Word_168,Word_169,Word_170,Word_171,Word_172,Word_173,Word_174,Word_175,Word_176,Word_177,Word_178,Word_179,Word_180,Word_181,Word_182,Word_183,Word_184,Word_185,Word_186,Word_187,Word_188,Word_189,Word_190,Word_191,Word_192,Word_193,Word_194,Word_195,Word_196,Word_197,Word_198,Word_199,Word_200
Loans,borrower,db bank,db,lender,guarantor,loan,guarantee,letter,thereof,time time,bank shall,sum,hereunder,absolute discretion,whatsoever,currency,construction,term condition,discretion,monies,mortgage,owing,payable,consent,accordance,land,shall deemed,clause,repayment,certificate,absolute,event default,proceeding,agrees,deemed,notwithstanding,prejudice,binding,unit,guaranteed,thereon,banker,indemnity,entitled,remedy,covenant,prepayment,discharge,permit,court,incurred,secured,contained,determined,outstanding,shall entitled,field,collateral,pursuant,acceptable,reserve,respective,limited liability,constitution,bankruptcy,proceeds,person person,jointly,executed,jurisdiction,specified,business day,contingent,duly,instruction,sole absolute,comply,corporation,signed,statutory,proportionate,adverse,undertaking,refers,bond,release,availability,delivered,competent,foreign currency,thereto,gst,liable,signature,sole,deduction,singapore dollar,warranty,bank customer,variation,maturity date,credit facility,shall include,facility granted,option purchase,sale purchase,applicable law,set forth,including limited,law regulation,customer bank,stamp duty,loan advance,financial institution,shall apply,bank bank,personal data,good service,accordance provision,relevant authority,foreign exchange,rate annum,financial information,act cap,market value,shall liable,behalf customer,db group,bank singapore,purchase sale,date date,bank account,customer account,fee commission,good faith,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mergers and Acquisitions,issue manager,target,diligence,target company,buyer,listing,shareholder,takeover,issuer,seller,merger,ipo,private,adviser,sgx,code,voting,concert,sector,expert,voting right,volume,regulatory,merger acquisition,acting concert,typically,prospectus,duty,technology,billion,practical,announcement,scheme,indonesia,ab,global,competition,bid,company act,listing rule,company group,lawyer,llc,region,corp,mandatory,company business,sgxst,significant,warranty,right reserved,acquirer,stated,august,proposed,acceptance,raised,covenant,disclosed,asia,licence,search,listing manual,acting,overview,reserved,tech,manual,court,assistance,trend,indemnity,investigation,consent,malaysia,contributed,research,voluntary,share company,normally,check,estate,stake,financing,company director,supplier,break,real estate,representation,announced,controlling,public company,director executive,impact,consumer,ascertain,shareholding,covid,section company,pte,internal control,listed company,interested person,financial adviser,financial statement,sale purchase,stamp duty,executive officer,company incorporated,person acting,person transaction,singapore malaysia,company company,singapore exchange,substantial shareholder,general meeting,financial year,share price,united state,covid pandemic,southeast asia,security future,singapore company,audited financial,group company,regulatory authority,share held,significant increase,hong kong,good faith,term condition,corporate regulatory,employment act,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derivatives,hedge,asc,hedged,derivative,reporting entity,fair value,hedging,entity,fair,swap,cash flow,forecasted,change fair,derivative contract,hedge accounting,hedging instrument,flow,currency,flow hedge,data field,method,column,accounting,embedded derivative,effectiveness,field,asset liability,earnings,specified,notional,rate swap,embedded,counterparty,corp,net,foreign currency,leg,usd,isda master,isda,component,settlement,net investment,designated,inception,firm commitment,master agreement,recognized,benchmark rate,forward contract,portfolio,sofr,index,derivative instrument,guidance,comprehensive income,host,future,nonfinancial,probable,criterion,gain loss,master,commodity,meet definition,margin,floating rate,layer,discussed,commitment,variable,floating,adjustment,benchmark,qualify,yes,pwc,nonfinancial asset,underlying,eur,fixed rate,exposure,quantitative,frequency,rate risk,usa,explanatory note,reset,contractually,functional currency,attributable,maturity,spot,otc,financial asset,financial instrument,variation margin,accounted,coupon,netting,hedged item,hedging relationship,forecasted transaction,scope exception,value hedge,asc asc,field value,hedged risk,net settlement,host contract,variable rate,otc derivative,exchange rate,time value,currency risk,event default,foreign exchange,present value,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Employment,leave,salary,viewing,overtime,print,commissioner,subsection,week,contract service,reading,informal,basic,offence,consolidation,version,deduction,holiday,allowance,cpf,entitled,medical,rest,child,annex,amendment,worked,termination,commencement,labour,wage,second,exceeding,minister,contribution,entitlement,employed,indicate,court,template,subcontractor,imprisonment,break,payable,prescribed,section act,liable,duty,pte,schedule,specified,fine,accordance,sum,sample,job,notification,young,day day,april,contractor,notice amendment,inquiry,november,authorised,productivity,october,bonus,august,shall liable,tan,worker,deemed,half,class,served,incentive,undertaking,wef,administrative,body,july,continuous,certified,thereof,soft,length,responsibility,civil,industrial,pas,preceding,signature,breakdown,supplement,calculated,penalty,jan,component,dispute,column,viewing print,rate pay,print viewing,employment act,consolidation version,informal consolidation,version force,payment date,average number,accordance provision,general administrative,date date,total number,income tax,shall entitled,month year,month month,applied section,previous year,time time,total allowance,relevant authority,bank deposit,prescribed form,section section,le year,period net,period time,end year,year total,act cap,work performed,term condition,company act,section company,fact circumstance,confidential information,person person,end period,employee benefit,bank singapore,limited liability,registered office,period year,business day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Non-Disclosure Agreements (NDA),confidential,confidential information,disclosing,agrees,confidentiality,disclose,remedy,court,thereof,agree,disclosed,shall deemed,whatsoever,pursuant,authorised,waiver,acknowledges,termination,deemed,term condition,corporation,dispute,signed,possession,hereunder,affiliate,article,proprietary,binding,printed,entity,great,accordance,clause,consent,constitute,thereto,prejudice,collectively,developed,executed,independently,responsibility,sole,united state,set forth,shall entitled,contained,united,relief,right reserved,related corporation,amendment,concerning,incorporated,signature,forth,violation,adviser,intellectual,publicly,person entity,contractor,entitled,information provided,proceeding,comply,conflict,contains,duty,employ,modification,reserved,time time,company business,appointed,attached,promptly,company incorporated,licence,modified,social,undertaking,counterpart,information relating,computer,degree,jurisdiction,release,research,supplier,competition,confidence,joint venture,governed,marketing,venture,suspected,amended,announcement,shall apply,great eastern,personal data,registered office,directly indirectly,board director,including limited,information obtained,shall include,holding company,applicable law,company subsidiary,financial adviser,period year,effective date,information required,regulatory authority,business enterprise,company united,stock exchange,real estate,plant equipment,company limited,disclosure required,information security,legal advice,management policy,work performed,company shall,incorporated singapore,life insurance,loss arising,meet criterion,related company,company share,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Partnerships,offeror,purchaser,target company,voting,concert,voting right,shareholder,council,stockholder,target,acting concert,merger,closing,announcement,acting,contemplated,person acting,seller,adviser,consent,set forth,accordance,acceptance,forth,normally,convertible,pursuant,code,schedule,forecast,competing,acquired,respective,certificate,number share,waiver,dealing,holder,proposal,acquire,sub,shareholding,company share,reasonably,governmental,circular,business trust,conversion,aggregate,outstanding,affiliate,security exchange,class,buyback,thereof,revised,thereto,partial,financial adviser,ordinary,warranty,foregoing,article,delivered,corporation,proposed,scheme,practicable,controlled,representation,hereunder,company shall,disclosed,course business,termination,deemed,general meeting,company company,dividend,covenant,organizational,vote,subscription,warrant,share price,business day,applicable law,advice,advertisement,interim,contained,environmental,confidential,expert,lease,share company,duly,amended,extension,promptly,offeree company,purchaser representative,share buyback,directly indirectly,share capital,confidential information,company director,equity security,director company,good faith,board director,financial statement,shall deemed,pursuant section,executive officer,term condition,balance sheet,company act,business combination,company subsidiary,weighted average,new york,person person,section company,public company,shall include,guidance note,substantial shareholder,exchange security,time time,share share,company business,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Client Agreements,clearing,cfd,clearing house,cimb,client shall,participant,agrees,uob group,uob,house,clause,currency,group bank,instruction,client account,meps,service provider,discretion,absolute discretion,margin,portfolio,termination,sole absolute,advice,time time,acknowledges,diligence,specified,sole,account client,term condition,future,legal advice,accordance,adviser,clearing member,user,trading platform,absolute,liable,client client,including limited,custody,ma,platform,pursuant,settlement,prejudice,early termination,applicable law,portfolio management,whatsoever,meaning,consent,swift,business day,acting,monies,underlying,commodity,payable,thereof,authorised,constitute,software,nominee,affiliate,respondent,shall liable,comply,representation,confirmation,deemed,custodian,entitled,warranty,incurred,jurisdiction,internet,host,entity,message,regulatory,schedule,notwithstanding,support,unit,executed,court,password,quote,determined,proceed,good faith,event default,duty,finance,hereunder,shall deemed,banking,cgs cimb,uobkh shall,client acknowledges,client agrees,uobkh client,client agreement,provider shall,personal data,future contract,shall entitled,account holder,corporate finance,company shall,management service,service provided,future option,limited liability,registered office,foreign exchange,bank shall,monetary authority,fund manager,authority singapore,hong kong,security future,overseas bank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Strategic,strategy,digital,waste,shenzhen,journey,organization,construction,team,capability,strategic,growth,experience,leader,technology,center,customer experience,india,infrastructure,analytics,transformation,core,business unit,unit,build,organizational,automation,improve,skill,focus,tool,operational,people,research,functional,insight,percent,world,exhibit,talent,opportunity,develop,support,global,culture,china,speed,consulting,topic,architecture,platform,executive,planning,program,success,impact,tel,future,quickly,scale,advantage,critical,behavior,important,consumer,drive,task,portfolio,chain,press,quality,sector,enterprise,marketing,institute,solution,strong,leadership,creating,resource,loyalty,better,creation,satisfaction,improvement,figure,entry,problem,game,journal,supply chain,brand,investor,successful,workforce,human,large,cycle,initiative,david,learning,product service,new product,machine learning,data analytics,best practice,joint venture,business strategy,hong kong,business model,new york,merger acquisition,growth rate,asset class,new business,artificial intelligence,cash flow,senior executive,past year,southeast asia,financial institution,economic growth,managing director,mitigate risk,market condition,right reserved,management practice,wide range,business customer,covid pandemic,financial performance,management process,economic sector,operational risk,greater china,risk management,company business,corporate finance,information technology,real estate,internal external,health care,people republic,stage stage,economic condition,quality control,root cause,working group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Administrative,workplace,colleague,people,team,job,leave,ask,culture,want,week,candidate,responsibility,overtime,success,coupled,training,health,expect,goal,confidential,holiday,car,hire,important,aligned,support,feedback,big,cell,safety,talent,highly,opportunity,salary,terminate,medical,worker,duty,great,check,emergency,growth,social,code,follow,drug,peer,complexity,confidential information,device,travel,elect,termination,understand,idea,illegal,skill,eligible,drive,grow,behavior,online,program,reward,computer,conflict,location,resource,career,joining,coverage,safe,worked,er,exempt,strategy,network,sign,background,confidentiality,discus,internet,seven,think,family,aspect,relative,quickly,stay,error,expectation,experience,density,regularly,supervisor,useful,dependent,develop,problem,secure,month year,prior year,time time,safety health,long term,health care,market value,root cause,credit card,life insurance,additional information,policy procedure,business day,cost le,business service,increase decrease,address risk,market rate,month month,quality control,high risk,management practice,risk assessment,business model,financial information,meet criterion,new business,share company,year year,senior management,person person,applicable law,timely manner,product service,directly indirectly,aaa aaa,absolute discretion,acceptance payable,accompanying note,accordance paragraph,accordance provision,accordance sfrsi,account client,account holder,accounting entity,accounting estimate,accounting policy,accounting standard,accumulated depreciation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Operational,training,safety,safety health,health,awareness,standard operating,internal use,organization,operating procedure,hazardous,printed,logo,appendix,duty,hazard,check,effective date,entity,emergency,location,version,applicability,date date,flight,comment,waste,competency,frequency,scheme,field,response,custodian,business service,worker,site,program,safe,unit,workplace,personnel,pilot,business continuity,pension,investor,continuity,monitoring,regulator,chemical,incident,natural person,circular,crisis,exposure,critical,retail,responsibility,investment fund,disruption,identified,task,manual,additional disclosure,natural,code,exempted,federal,experience,resource,threshold,collateral,jurisdiction,supervisor,certification,collective,depository,fis,objective,team,person entity,mutual,management guideline,requesting,lab,support,regulatory,job,column,usa,space,operational,exemption,jan,holder,august,handling,object,operator,eligible,staff,associated,general awareness,health training,organization document,appendix effective,copy check,current copy,date mmddyyyy,document version,file internal,list location,location electronic,logo organization,mmddyyyy uncontrolled,page title,printed current,procedure safety,title standard,training appendix,uncontrolled printed,version page,check list,electronic file,monetary authority,authority singapore,financial service,senior management,best practice,role responsibility,equity security,united state,stock exchange,board senior,share company,service provider,new york,risk management,shall include,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
