file_path,expected_topic,predicted_topic_gpt4o,predicted_topic_llama
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/best-practices-for-countering-trade-based-money-laundering.txt,Anti Money Laundering,Regulatory and Compliance,Anti Money Laundering
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/7 Credit Facilities to Directors Related Corporations etc 01 Nov 1985.txt,Risk Management,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Regulatory and Compliance/Guide to Internal Review on the Sustainability Report.txt,Regulatory and Compliance,Risk Assessment Reports and Frameworks,Risk Management
Cleaned_Data_v2/Legal and Contractual/Client Agreements/general_terms_and_conditions.txt,Client Agreements,Client Agreements,Technology
Cleaned_Data_v2/Financial/Financial Statements/unaudited-results-for-second-quarter-ended-30-june-2024.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Marketing and Public Communication/242 - Loyalty Programs and Customer Expectations Are Growing - BCG - www.bcg.com.txt,Marketing and Public Communication,Marketing and Public Communication,Investment and Market Research
Cleaned_Data_v2/Technology/singapore-cyber-landscape-2023.txt,Technology,Risk Assessment Reports and Frameworks,Risk Management
Cleaned_Data_v2/Financial/Financial Statements/interim-financial-statement-2q-2021.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Legal and Contractual/Client Agreements/ian de vaz_due diligence.txt,Client Agreements,Regulatory and Compliance,Partnerships
Cleaned_Data_v2/Regulatory and Compliance/Financial Regulations/SFLCBReg.txt,Financial Regulations,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-1q-2018.txt,Financial Statements,Annual Reports,Financial Statements
Cleaned_Data_v2/Financial/Annual Reports/pwc-iar-2023.txt,Annual Reports,Annual Reports,Annual Reports
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-2q-2017.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/2019-pmp-public-report.txt,Audit Reports,Audit Reports,Audit Reports
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-2q-2018.txt,Financial Statements,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/LexologyGTDTPrivateMergersandAcquisitions2023Singaporechapter.txt,Mergers and Acquisitions,Regulatory and Compliance,Mergers and Acquisitions
Cleaned_Data_v2/Financial/Financial Statements/balance-sheets-30june18.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-300623.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Strategic/BCG_Designing_the_Corporate_Center_May_2013_tcm9-97479.txt,Strategic,Strategic,Strategic
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/Due-Diligence-for-Private-Acquisitions-in-Singapore.txt,Mergers and Acquisitions,Mergers and Acquisitions,Risk Management
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/8 Credit Facilities and Limits 01 Nov 1985.txt,Risk Management,Regulatory and Compliance,Financial Regulations
Cleaned_Data_v2/Strategic/introducing-the-next-gen-operating-model.txt,Strategic,Technology,Strategic
Cleaned_Data_v2/Operational/PA00JM8D.txt,Operational,Regulatory and Compliance,Annual Reports
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-310320.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/gp-financial-1q-2019.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Administrative/Sample-Employee-Handbook.txt,Administrative,Employment,Technology
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/Singapore’s National Money Laundering and Terrorist Financing Risk Assessment .txt,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks,Risk Assessment Reports and Frameworks
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-310324.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Anti Money Laundering/MAS Notice PSN10  Exempt Payment Service Providers Tracked.txt,Anti Money Laundering,Regulatory and Compliance,Financial Regulations
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-1q-2022.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/selected-fs-fy2020-en.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/Balance_sheets30Sept15.txt,Financial Statements,Financial Statements,Financial Statements
Cleaned_Data_v2/Legal and Contractual/Non-Disclosure Agreements (NDA)/NDA+FichePrésentation.txt,Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA),Non-Disclosure Agreements (NDA)
Cleaned_Data_v2/Legal and Contractual/Employment/EC.txt,Employment,Employment,Taxation
Cleaned_Data_v2/Legal and Contractual/Employment/Sample Employment Contract.txt,Employment,Employment,Employment
Cleaned_Data_v2/Strategic/bcg-infrastructure-strategy-2024-creating-value-through-operational-excellence-mar-2024.txt,Strategic,Investment and Market Research,Investment and Market Research
Cleaned_Data_v2/Financial/Financial Statements/financial-statements.txt,Financial Statements,Annual Reports,Annual Reports
Cleaned_Data_v2/Legal and Contractual/Loans/credit_facilities.txt,Loans,Loans,Client Agreements
Cleaned_Data_v2/Financial/Financial Statements/ar2023.txt,Financial Statements,Annual Reports,Annual Reports
Cleaned_Data_v2/Regulatory and Compliance/Risk Management/Guidelines on Definition of a Deposit_01 Jul 2021.txt,Risk Management,Regulatory and Compliance,Regulatory and Compliance
Cleaned_Data_v2/Legal and Contractual/Mergers and Acquisitions/049_SINGAPORE-L-P.txt,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
Cleaned_Data_v2/Financial/Financial Statements/liquidity-coverage-ratio-2q-2019.txt,Financial Statements,Risk Management,Financial Statements
Cleaned_Data_v2/Regulatory and Compliance/Audit Reports/Audited-Results-For-Year-Ended-31-Dec-2021.txt,Audit Reports,Financial Statements,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/unaudited-interim-financial-statements-300923.txt,Financial Statements,Annual Reports,Financial Statements
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/dbs-annual-report-2023-risk-management.txt,Risk Assessment Reports and Frameworks,Risk Management,Financial Statements
Cleaned_Data_v2/Financial/Financial Statements/UOBKH_AR14.txt,Financial Statements,Annual Reports,Annual Reports
Cleaned_Data_v2/Financial/Risk Assessment Reports and Frameworks/pillar3-disclosures-3q-2023.txt,Risk Assessment Reports and Frameworks,Regulatory and Compliance,Financial Statements
